Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.260119143,,,,,,
Afghanistan,AFG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.637943783,10.55658937,11.4291679,12.27985647,12.76820373,15.22090561,15.25337281,14.81942777,16.02236588,17.35617,18.45756064,18.86859829,18.68336031,18.8949479,19.61278697,
Angola,AGO,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68E-09,2.27E-08,7.74E-08,1.04E-06,2.26E-05,0.000442671,0.023908262,0.045676673,0.061144648,0.395628804,2.004662347,4.04391256,11.81197761,21.41180312,29.1311273,35.79141786,39.25304617,43.0594412,50.54275895,46.44040876,56.15439177,68.31485556,71.82186943,72.45072925,70.33779343,66.65536526,83.86321575,
Albania,ALB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.879200725,2.520095578,8.615951864,18.07996631,24.50417425,25.34132904,35.15926214,38.74641562,40.75225833,41.10148644,42.02588889,42.77042498,42.92633911,44.64569,44.92365863,45.52720814,44.45254629,44.68553667,44.56121215,44.33696802,44.15665321,43.85769994,43.65532249,44.11377158,42.89393001,43.92906495,44.37416743,
Andorra,AND,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.393832875,1.359871259,1.353586088,1.339026469,1.307682636,1.331019311,1.382619189,1.346408663,1.275286319,1.362118755,1.484432682,1.417260821,1.448467669,1.477983346,1.560717567,1.761948874,1.913920014,2.097975802,2.438958159,2.053059981,2.281624182,2.544308634,2.538909716,2.460168938,2.421260578,2.044004124,1.908400804,
Argentina,ARG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301233819,0.679129008,0.74314596,0.715229359,0.720280155,0.727896346,0.714472038,0.699190832,0.679889134,0.657343108,0.649384764,0.627958465,0.807437287,0.874740685,1.007664453,1.076977118,1.188452674,1.330595004,1.607378825,1.840577916,2.198683467,2.664829,3.200527055,3.903965508,5.390717961,6.628711751,9.2074916,
Armenia,ARM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005878484,0.010205492,0.066733845,0.971986659,40.04221184,102.4392575,120.3125516,139.2676089,152.5120049,150.2940794,144.9315789,147.4683892,148.680644,152.4227197,157.7034753,157.737391,160.1057582,162.5564922,168.978217,171.9927079,183.1178236,187.0952841,193.5320717,196.8685167,198.2561027,198.1170032,196.6332638,
American Samoa,ASM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
