LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2008,2008,MXN,Mexican Peso,0,Units,,,7.086266,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2009,2009,MXN,Mexican Peso,0,Units,,,7.434936,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2010,2010,MXN,Mexican Peso,0,Units,,,7.637299,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2011,2011,MXN,Mexican Peso,0,Units,,,7.692286,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2012,2012,MXN,Mexican Peso,0,Units,,,7.872281,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2013,2013,MXN,Mexican Peso,0,Units,,,7.962215,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2014,2014,MXN,Mexican Peso,0,Units,,,8.18118,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2015,2015,MXN,Mexican Peso,0,Units,,,8.544267,,
MEX,Mexico,PPPP41,Purchasing Power Parities for actual individual consumption,CD,National currency per US dollar,2016,2016,MXN,Mexican Peso,0,Units,,,8.789432,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2008,2008,EUR,Euro,0,Units,,,0.682675,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2009,2009,EUR,Euro,0,Units,,,0.719843,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2010,2010,EUR,Euro,0,Units,,,0.755045,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2011,2011,EUR,Euro,0,Units,,,0.719355,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2012,2012,EUR,Euro,0,Units,,,0.778294,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2013,2013,EUR,Euro,0,Units,,,0.753159,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2014,2014,EUR,Euro,0,Units,,,0.753731,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2015,2015,EUR,Euro,0,Units,,,0.901659,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2016,2016,EUR,Euro,0,Units,,,0.904035,,
ESP,Spain,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2017,2017,EUR,Euro,0,Units,,,0.887397,,
NZL,New Zealand,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2008,2008,NZD,New Zealand Dollar,0,Units,,,1.422727,,
NZL,New Zealand,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2009,2009,NZD,New Zealand Dollar,0,Units,,,1.600877,,
NZL,New Zealand,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2010,2010,NZD,New Zealand Dollar,0,Units,,,1.387834,,
NZL,New Zealand,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2011,2011,NZD,New Zealand Dollar,0,Units,,,1.265811,,
NZL,New Zealand,EXC,"Exchange rates, period-average",CD,National currency per US dollar,2012,2012,NZD,New Zealand Dollar,0,Units,,,1.234284,,
